,ESTP,ISTP,ESFP,ISFP,ESTJ,ISTJ,ESFJ,ISFJ,ENFP,INFP,ENFJ,INFJ,ENTP,INTP,ENTJ,INTJ
ESTP,3,4,1,1,2,2,4,4,1,1,3,3,2,2,2,2
ISTP,4,3,1,1,2,2,4,4,1,1,3,3,2,2,2,2
ESFP,1,1,3,4,4,4,2,2,2,2,2,2,1,1,3,3
ISFP,1,1,4,3,4,4,2,2,2,2,2,2,1,1,3,3
ESTJ,2,2,4,4,3,4,1,1,3,3,1,1,2,2,2,2
ISTJ,2,2,4,4,4,3,1,1,3,3,1,1,2,2,2,2
ESFJ,4,4,2,2,1,1,3,4,2,2,2,2,3,3,1,1
ISFJ,4,4,2,2,1,1,4,3,2,2,2,2,3,3,1,1
ENFP,1,1,2,2,3,3,2,2,3,4,2,2,1,1,4,4
INFP,1,1,2,2,3,3,2,2,4,3,2,2,1,1,4,4
ENFJ,3,3,2,2,1,1,2,2,2,2,3,4,4,4,1,1
INFJ,3,3,2,2,1,1,2,2,2,2,4,3,4,4,1,1
ENTP,2,2,1,1,2,2,3,3,1,1,4,4,3,4,2,2
INTP,2,2,1,1,2,2,3,3,1,1,4,4,4,3,2,2
ENTJ,2,2,3,3,2,2,1,1,4,4,1,1,2,2,3,4
INTJ,2,2,3,3,2,2,1,1,4,4,1,1,2,2,4,3
